Team,LastName,FirstName,Bats,Throws,Position,Position2,PitcherType,LineupPos
Makos,Prince,Trevor,R,R,shortstop,secondbaseman,,1
Makos,Lawson,Mitchel,L,R,rightfielder,leftfielder,,2
Makos,Sanderson,Anthony,R,R,centerfielder,leftfielder,,3
Makos,Shipley,Damien,L,L,firstbaseman,thirdbaseman,,4
Makos,Barkley,Simon,R,R,thirdbaseman,firstbaseman,,5
Makos,Dawson,Roger,R,R,catcher,thirdbaseman,,6
Makos,Braddock,Ish,L,L,leftfielder,rightfielder,,7
Makos,Jackson,Ryan,R,R,secondbaseman,shortstop,,8
Makos,Slaterly,Jeff,R,R,thirdbaseman,shortstop,,9
Makos,Heald,Ash,R,R,pitcher,,starter,
Makos,Machado,Hector,R,R,pitcher,,starter,
Makos,Sayers,Gerome,L,L,pitcher,,starter,
Makos,Hoobs,Jackie,R,R,pitcher,,starter,
Makos,Dunn,Ray,R,R,pitcher,,starter,
Makos,Lloyd,Levy,R,R,pitcher,,reliever,
Makos,Highsmith,Leon,L,L,pitcher,,reliever,
Makos,Branagan,Justin,R,R,pitcher,,reliever,
Makos,Downs,Cedric,R,R,pitcher,,reliever,
Makos,Mills,Justin,R,R,pitcher,,reliever,
Makos,Castronova,Burt,R,R,catcher,firstbaseman,,
Makos,Parrish,Edmond,R,R,rightfielder,centerfielder,,
Makos,Mallek,Christopher,L,R,secondbaseman,outfielder,,
Makos,Patterson,Ricky,S,R,catcher,leftfielder,,
Makos,Frasier,Adrian,R,R,shortstop,secondbaseman,,
Makos,Brown,Ellis,S,R,centerfielder,leftfielder,,
Gators,Sharkey,Bill,R,R,rightfielder,leftfielder,,1
Gators,Lucas,Peter,S,R,secondbaseman,shortstop,,2
Gators,Holley,Howard,L,L,leftfielder,rightfielder,,3
Gators,Kemp,Jay,L,R,shortstop,thirdbaseman,,4
Gators,Gomez,Augusto,S,R,thirdbaseman,shortstop,,5
Gators,Clark,Randy,R,R,firstbaseman,thirdbaseman,,6
Gators,Metcalf,Jon,R,R,rightfielder,leftfielder,,7
Gators,Moran,Octavio,R,R,catcher,thirdbaseman,,8
Gators,Lowery,Shane,R,R,centerfielder,leftfielder,,9
Gators,Bowerman,Nate,L,L,pitcher,,starter,
Gators,Hoover,Stanley,L,L,pitcher,,starter,
Gators,Francis,Mark,R,R,pitcher,,starter,
Gators,Marino,Francisco,R,R,pitcher,,starter,
Gators,Serrano,Jose,R,R,pitcher,,starter,
Gators,Rivas,Antonio,R,R,pitcher,,reliever,
Gators,Zamora,Juan,L,L,pitcher,,reliever,
Gators,Garcim,Tony,L,L,pitcher,,reliever,
Gators,McAughey,Shane,R,R,pitcher,,reliever,
Gators,Kelley,John,R,R,pitcher,,reliever,
Gators,Gonzalez,Jose,R,R,shortstop,secondbaseman,,
Gators,MacAldonich,Chris,R,R,centerfielder,leftfielder,,
Gators,Cruz,Orlando,R,R,shortstop,secondbaseman,,
Gators,Santos,Ramon,R,R,catcher,firstbaseman,,
Gators,Ornelas,Colton,R,R,leftfielder,centerfielder,,
Gators,Aldridge,Jose,S,R,firstbaseman,catcher,,
